STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1957-05,0.56,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1957-06,1.91,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1957-07,1.32,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1957-08,2.05,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1957-09,0.46,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1957-10,1.55,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1957-11,6.94,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1957-12,6.77,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1958-01,1.3,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1958-02,2.18,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1958-03,0.93,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1958-04,1.11,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1958-05,1.4,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1958-06,1.2,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1958-07,4.37,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1958-08,3.31,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1958-09,1.32,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1958-10,5.76,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1958-11,0.6,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1958-12,2.85,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1959-01,6.46,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1959-02,2.24,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1959-03,1.38,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1959-04,2.02,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1959-05,2.81,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1959-06,0.7,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1959-07,1.52,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1959-08,8.15,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1959-09,1.35,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1959-10,2.2,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1959-11,5.3,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1959-12,2.88,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1960-01,0.98,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1960-02,4.15,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1960-03,9.72,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1960-04,1.16,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1960-05,2.71,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1960-06,1.02,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1960-07,1.35,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1960-08,0.86,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1960-09,4.6,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1960-10,5.45,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1960-11,1.58,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1960-12,8.49,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1961-01,1.28,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1961-02,1.58,",,,0"
USW00022536,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",21.98048,-159.33863,31.9,1961-03,3.43,",,,0"
